%
% Convert TDMS to ASCII v1.2 
% File created on 10-4-2026 16:22:10
%
% For Matlab use: 
Input=dlmread('08 3 s1000 cavitation50.dat','\t',[8 0 32817 5])

Time     	ch 0     	ch 1     	ch 2     	ch 3     	ch 4     	
0.0057812500	0.0127969000	0.9624807000	-2.2793932000	-0.0022241000	0.1719323060
0.0059375000	0.3322039000	2.3040783000	-0.2989830000	-0.7049481000	-0.0007289862
0.0060937500	-0.8815427000	1.7610507000	-1.0975355000	0.2852539000	0.0452653538
0.0062500000	1.1946028000	-0.6985449000	-2.8862931000	-0.7368901000	-0.0693554618
0.0064062500	-1.2648311000	0.7388811000	-1.2253039000	-0.7688321000	-0.2597469985
0.0065625000	0.3641446000	0.0361395000	-2.5349300000	1.0518619000	-0.1290646674
0.0067187500	0.0447376000	-2.2317993000	-0.7142303000	0.5727319000	0.0674281593
0.0068750000	-0.3385508000	0.5472243000	-1.1294776000	0.4449639000	0.0440138071
0.0070312500	0.3322039000	2.8151631000	-0.9378250000	2.2656579000	-0.1643687129
0.0071875000	-0.3385508000	1.4735655000	1.6494851000	-1.0243681000	-0.0238825996
0.0073437500	0.3322039000	-0.6985449000	-2.3752195000	0.7324419000	0.1901318804
0.0075000000	-1.2648311000	1.7291079000	1.4897746000	0.1574859000	0.1407479349
0.0076562500	1.4501284000	0.4833387000	1.2661799000	-0.2258181000	-0.0604903396
0.0078125000	-0.9134834000	-1.4012865000	0.3398590000	2.3295419000	-0.1314634651
0.0079687500	-0.9134834000	-0.1874601000	-0.3309251000	-1.8868021000	-0.1174357129
0.0081250000	-1.3925939000	1.4416227000	0.2120906000	0.8921519000	0.0854712904
0.0082812500	-0.8176613000	-0.2513457000	-1.5766670000	0.4769059000	0.0610139826
0.0084375000	-0.8176613000	1.1860803000	0.2440327000	-2.2062221000	-0.0925612229
0.0085937500	-0.0830252000	0.3236247000	-1.1294776000	1.1157459000	0.0566857171
0.0087500000	0.2044411000	-1.4651721000	0.4037432000	-1.5673821000	0.2150585182
0.0089062500	0.4919074000	-1.6887717000	-1.5447249000	-0.8007741000	0.1349073838
0.0090625000	-0.0830252000	-0.1874601000	-0.3309251000	0.9560359000	-0.0301403329
0.0092187500	0.8432551000	-0.4430025000	0.5315116000	-1.6951501000	-0.1063282362
0.0093750000	1.0029586000	-0.3791169000	0.2759748000	1.8184699000	0.0738944838
0.0095312500	-2.3188742000	0.4833387000	0.7870484000	-0.3535861000	0.2166229515
0.0096875000	2.8555192000	0.2597391000	0.6273379000	0.7324419000	0.1793372904
