%
% Convert TDMS to ASCII v1.2 
% File created on 10-4-2026 16:22:13
%
% For Matlab use: 
Input=dlmread('13 2 s1200 cavitation50.dat','\t',[8 0 32817 5])

Time     	ch 0     	ch 1     	ch 2     	ch 3     	ch 4     	
0.0000000000	0.6516109000	2.8471059000	0.7551063000	1.4990499000	0.0623176771
0.0001562500	-0.9454241000	-1.5610005000	0.8509326000	-1.6632081000	0.0335321038
0.0003125000	-1.0731869000	-0.4430025000	-0.5864619000	2.8406139000	-0.1440832274
0.0004687500	-3.1812731000	-4.4997381000	1.1703536000	0.0616599000	-0.1257793574
0.0006250000	-3.6284429000	-2.4553989000	-0.2670409000	1.4671079000	-0.0611161129
0.0007812500	-4.1394941000	-1.7207145000	0.0204380000	0.6685579000	-0.1827768785
0.0009375000	0.4599667000	2.1124215000	-1.8002617000	-0.7368901000	-0.0629934329
0.0010937500	-2.0633486000	2.1443643000	0.1162643000	1.0838039000	-0.0781162885
0.0012500000	3.6859774000	1.4735655000	-0.2670409000	-2.2062221000	0.0341057293
0.0014062500	-0.0191438000	0.5791671000	-3.0140615000	-1.4396141000	-0.0855734207
0.0015625000	3.1429855000	-0.1555173000	1.1384115000	0.7643839000	-0.1866879618
0.0017187500	0.2044411000	-1.5610005000	-2.5349300000	-2.0465121000	0.0634127804
0.0018750000	-1.6161788000	-2.0720853000	1.8091956000	0.9560359000	0.1608248293
0.0020312500	-0.8176613000	1.0263663000	-0.5864619000	-0.0980501000	-0.0660701518
0.0021875000	-1.7758823000	-0.1555173000	-0.1712146000	-1.2479621000	-0.2946338618
0.0023437500	-1.8717044000	2.3679639000	0.5315116000	0.5407899000	0.0155411204
0.0025000000	1.5140098000	2.1443643000	0.0843222000	-2.6853521000	0.0642471449
0.0026562500	-0.2746694000	3.2943051000	1.8411377000	0.8602099000	-0.0755088996
0.0028125000	1.8653575000	0.5791671000	-0.6184040000	-1.1840781000	0.0822381282
0.0029687500	1.1626621000	2.4318495000	0.4356853000	-0.5132961000	0.1425731071
0.0031250000	0.6516109000	-0.4749453000	0.1801485000	1.5309919000	0.1698985426
0.0032812500	-2.2869335000	-0.2832885000	0.1162643000	0.9879779000	0.0829681971
0.0034375000	-2.8618661000	2.7193347000	0.1162643000	2.8725559000	0.0137680960
0.0035937500	-0.2427287000	1.8888219000	0.8509326000	2.7767299000	-0.1058589062
0.0037500000	-1.5203567000	0.0041967000	-0.3309251000	1.3712819000	-0.0555884485
0.0039062500	2.4083494000	0.6430527000	2.7994007000	3.7669319000	-0.0295667074
0.0040625000	1.5778912000	-0.4430025000	-0.2670409000	-2.0784541000	0.0810908771
0.0042187500	3.2388076000	-0.0596889000	4.9395214000	0.6046739000	0.0315504882
0.0043750000	2.2486459000	-0.1235745000	-0.5864619000	0.1894279000	0.1072690615
0.0045312500	0.4599667000	0.3236247000	3.0549375000	-1.8868021000	0.1076862438
0.0046875000	0.0766783000	-1.1776869000	0.4356853000	-0.0341661000	-0.0793156874
0.0048437500	-1.7120009000	0.1319679000	1.9369640000	-0.8327161000	-0.1756847807
0.0050000000	-0.5940764000	-0.4110597000	1.1703536000	0.4769059000	-0.1704700029
0.0051562500	-1.0412462000	-3.8928249000	0.2759748000	0.1894279000	0.0909989549
0.0053125000	2.0889424000	-1.0818585000	-0.2989830000	0.3810799000	-0.0513123307
0.0054687500	0.7793737000	-2.0401425000	0.1801485000	-0.7688321000	-0.2547408118
0.0056250000	0.7793737000	-0.1874601000	0.4037432000	-0.0980501000	0.0369738571
0.0057812500	3.0471634000	0.0361395000	-0.8419987000	-0.8327161000	0.1221311782
0.0059375000	0.2363818000	2.5596207000	1.5536588000	2.1698319000	0.0439095115
0.0060937500	2.5041715000	1.0902519000	0.9787010000	0.5727319000	-0.0387968640
0.0062500000	-4.2991976000	1.4735655000	0.2440327000	1.8823539000	-0.0625762507
0.0064062500	-0.2107880000	1.0263663000	0.8828747000	0.4769059000	0.0142895738
