%
% Convert TDMS to ASCII v1.2 
% File created on 10-4-2026 16:22:06
%
% For Matlab use: 
Input=dlmread('01 1 s700 healthy.dat','\t',[8 0 32817 5])

Time     	ch 0     	ch 1     	ch 2     	ch 3     	ch 4     	
0.0062500000	0.2363818000	0.0680823000	-0.2031567000	0.2213699000	-0.0095941085
0.0064062500	-0.5301950000	-0.5707737000	-0.9378250000	-0.6091221000	0.0042772004
0.0065625000	-0.0830252000	-0.1555173000	0.3079169000	0.3171959000	0.0224246271
0.0067187500	-0.7857206000	-0.1555173000	-0.5225777000	-0.4813541000	0.0224767749
0.0068750000	0.0766783000	0.0041967000	0.6592800000	0.5727319000	0.0118907760
0.0070312500	-0.3066101000	-0.3152313000	0.5315116000	0.3491379000	-0.0465668829
0.0071875000	0.3322039000	0.0361395000	-0.1073304000	0.2852539000	-0.0306618107
0.0073437500	0.0127969000	0.0361395000	-0.1392725000	0.4769059000	0.0018784026
0.0075000000	-0.4343729000	-0.2832885000	-0.7781145000	-0.7688321000	0.0710785038
0.0076562500	0.9390772000	0.8666523000	1.0106431000	1.3073979000	0.1229133949
0.0078125000	-1.3925939000	-1.3374009000	-1.8641459000	-1.4715561000	0.0756153604
0.0079687500	0.0127969000	0.0680823000	-0.1392725000	-0.0661081000	0.0854712904
0.0081250000	-1.6161788000	-1.5290577000	-1.8641459000	-1.3118461000	0.0930327182
0.0082812500	-0.6260171000	-0.4110597000	-2.0238564000	-0.8007741000	0.1045573771
0.0084375000	-0.1788473000	-0.5388309000	0.5315116000	0.5727319000	0.0731644149
0.0085937500	-0.4982543000	-0.3471741000	-1.9919143000	-0.7368901000	0.1145176026
0.0087500000	-0.6260171000	-0.4749453000	-1.5127828000	-0.3535861000	0.1530548104
0.0089062500	-0.1149659000	0.2277963000	-0.4906356000	0.2852539000	0.1563922682
0.0090625000	-0.4024322000	-0.6027165000	-1.1294776000	-0.1938761000	0.1283367638
0.0092187500	-0.2107880000	-0.0596889000	-0.2350988000	0.4130219000	0.0984039393
0.0093750000	-0.0191438000	0.4194531000	-0.1073304000	0.1255439000	0.0511059049
0.0095312500	-0.6579578000	0.1000251000	-0.2350988000	0.0297179000	0.0536089982
0.0096875000	0.1405597000	0.2277963000	-0.0115041000	0.2533119000	0.0595538449
0.0098437500	-0.9454241000	0.0361395000	0.4995695000	-0.1619341000	0.0441702504
0.0100000000	0.0447376000	0.9944235000	1.0106431000	0.3171959000	0.0831246404
0.0101562500	-1.0731869000	-0.6027165000	-0.3948093000	-0.4174701000	0.1384534326
0.0103125000	-0.0510845000	-0.6027165000	0.9467589000	0.2213699000	0.1169164004
0.0104687500	-0.4982543000	-0.0916317000	0.4037432000	-0.0661081000	0.0940756738
0.0106250000	-0.3704915000	0.0041967000	0.2440327000	-0.0341661000	0.0908946593
0.0107812500	-0.4343729000	0.4833387000	0.6912221000	-0.0980501000	0.1026800571
0.0109375000	-0.4982543000	0.4194531000	-0.7461724000	0.0297179000	0.0722779026
0.0110937500	-0.2746694000	0.3875103000	-0.1392725000	0.1255439000	0.0933456049
0.0112500000	0.0127969000	-0.2513457000	-0.8419987000	0.2852539000	0.0936584915
0.0114062500	0.0127969000	0.5152815000	0.7231642000	0.6046739000	0.1146740460
0.0115625000	0.0766783000	0.0361395000	-0.8100566000	0.5407899000	0.1361589304
0.0117187500	0.0447376000	0.4194531000	0.1801485000	0.1894279000	0.0885480093
0.0118750000	0.2044411000	1.1541375000	-0.7461724000	0.8921519000	0.0225810704
0.0120312500	0.0127969000	1.1541375000	-0.0434462000	0.0616599000	0.0376517782
