%
% Convert TDMS to ASCII v1.2 
% File created on 10-4-2026 16:22:12
%
% For Matlab use: 
Input=dlmread('12 2 s1200 cavitation25.dat','\t',[8 0 32817 5])

Time     	ch 0     	ch 1     	ch 2     	ch 3     	ch 4     	
0.0000000000	0.4919074000	-1.0818585000	2.3841534000	-2.7172941000	-0.1987862462
0.0001562500	-1.9994672000	-1.3693437000	-0.3309251000	-1.1201941000	-0.1750590074
0.0003125000	-0.1788473000	-2.0401425000	1.3620062000	-3.0686561000	0.3788025404
0.0004687500	-4.3630790000	-1.3693437000	-0.1712146000	-2.8131201000	0.7466529649
0.0006250000	-1.4564753000	-1.2735153000	-0.3309251000	-1.2479621000	0.4312632049
0.0007812500	-3.0535103000	-2.2317993000	-0.4586935000	-1.5993241000	-0.1641079740
0.0009375000	-2.8299254000	-3.3178545000	0.4037432000	2.9683819000	-0.3664934996
0.0010937500	-2.3188742000	0.6749955000	0.1801485000	0.3810799000	-0.2271546374
0.0012500000	-0.9134834000	-4.2761385000	1.7133693000	-1.6951501000	0.3033968538
0.0014062500	-0.4343729000	-0.3791169000	2.7355165000	1.9462379000	0.0784313404
0.0015625000	-0.6260171000	-1.0818585000	2.4799797000	-1.7590341000	0.0700876960
0.0017187500	0.4280260000	-3.6372825000	2.8313428000	-0.0661081000	0.1388706149
0.0018750000	0.7154923000	-4.1164245000	3.1188217000	-2.2381641000	0.3291578560
0.0020312500	-3.0535103000	-2.1359709000	3.5340690000	-1.4076721000	0.1594689871
0.0021875000	3.6859774000	-0.5388309000	2.0966745000	-1.0243681000	0.0531918160
0.0023437500	-3.6923243000	0.2277963000	2.3202692000	-0.3535861000	0.4752237815
0.0025000000	3.7817995000	-1.3693437000	0.1162643000	-2.2062221000	0.2149542226
0.0026562500	-5.3532407000	1.0583091000	1.0745273000	0.5407899000	0.2334666838
0.0028125000	4.6122577000	-4.4039097000	-0.1073304000	-0.0980501000	-0.0086033007
0.0029687500	-7.5890897000	-0.3791169000	-0.8419987000	-3.1325401000	0.0763454293
0.0031250000	2.9513413000	-0.1874601000	-0.4906356000	2.7767299000	0.1737053304
0.0032812500	-2.7660440000	-4.5636237000	1.3939483000	-1.1840781000	-0.1366782429
0.0034375000	0.0127969000	-2.5512273000	-2.1516248000	-0.6730061000	-0.1229112296
0.0035937500	-5.3532407000	-4.0844817000	-0.5545198000	-1.1840781000	0.3384401604
0.0037500000	5.0594275000	-6.5440773000	0.7231642000	-0.9924261000	0.3324953138
0.0039062500	-5.1296558000	-7.1190477000	0.7870484000	-1.1521361000	-0.2011328962
0.0040625000	8.9242522000	-3.0623121000	0.6912221000	-1.4396141000	-0.4060215151
0.0042187500	-0.1788473000	3.7095615000	1.9050219000	-4.9851761000	-0.0636192062
0.0043750000	3.8137402000	1.9527075000	1.6814272000	-0.2897021000	0.0238326171
0.0045312500	1.0348993000	-2.2956849000	1.2022957000	0.3491379000	-0.1057546107
0.0046875000	1.1307214000	2.3040783000	1.9689061000	-4.0908001000	-0.3809384340
0.0048437500	1.2904249000	-4.3719669000	0.5953958000	4.3738299000	-0.2099458707
0.0050000000	0.6835516000	-1.9443141000	2.2883271000	4.3738299000	-0.0639320929
0.0051562500	1.7695354000	-3.1900833000	-0.6184040000	3.6072219000	-0.3667020907
0.0053125000	0.5557888000	4.8914451000	-0.2989830000	4.4696559000	-0.3060020774
0.0054687500	1.0029586000	7.3190979000	-3.0779457000	0.4449639000	-0.0591866451
0.0056250000	1.6737133000	8.3732103000	-1.0017092000	2.8725559000	0.1999356626
0.0057812500	2.5041715000	0.6430527000	-3.5570772000	-1.4396141000	0.4195821026
0.0059375000	0.1086190000	0.2277963000	-2.0238564000	3.4794539000	0.1234870204
0.0060937500	3.2388076000	-2.1998565000	-1.8002617000	0.4769059000	0.1744353993
0.0062500000	1.7695354000	-2.1679137000	0.8509326000	1.7865279000	-0.1792829774
0.0064062500	0.7154923000	-1.8804285000	0.2759748000	5.0765539000	-0.1548778174
0.0065625000	2.1528238000	6.6482991000	3.0549375000	1.2115719000	0.1174900260
0.0067187500	2.1847645000	6.5205279000	1.5217167000	2.0101219000	-0.1615527329
0.0068750000	0.7474330000	6.3288711000	-0.3309251000	-0.1938761000	-0.5181392374
0.0070312500	3.4943332000	3.4220763000	-0.4267514000	-0.9924261000	-0.4485219540
0.0071875000	0.6196702000	2.7512775000	-2.7265826000	2.7447879000	-0.2070255951
0.0073437500	2.2486459000	1.5055083000	-1.8322038000	1.0199199000	0.2512490760
0.0075000000	-0.1149659000	3.0707055000	-2.2793932000	-0.3855281000	-0.0640363885
0.0076562500	0.9390772000	5.0511591000	-2.7904668000	6.8972479000	-0.3178396229
0.0078125000	0.3641446000	4.6678455000	-1.2891881000	1.8184699000	-0.5432744662
0.0079687500	1.5778912000	6.8718987000	-0.5545198000	4.7251919000	-0.1334972285
0.0081250000	2.1208831000	2.8471059000	-3.1418299000	3.6711059000	-0.2810754396
0.0082812500	-0.6579578000	3.2943051000	-0.4906356000	-0.0980501000	-0.1096656940
0.0084375000	2.8235785000	2.5276779000	-3.5251351000	4.0224679000	0.2726818126
0.0085937500	-3.7881464000	1.2499659000	-2.0557985000	-0.6730061000	-0.1518010985
0.0087500000	2.5361122000	-2.0720853000	-2.3432774000	1.4990499000	0.3782289149
0.0089062500	-2.0633486000	2.1124215000	-4.9305875000	0.3491379000	-0.5333142407
0.0090625000	-0.7537799000	2.7193347000	-1.8960880000	-1.0882521000	0.2029602338
0.0092187500	2.1528238000	5.6580723000	-2.8224089000	3.5433379000	0.0403113149
0.0093750000	-1.9355858000	5.5303011000	0.5315116000	1.1796299000	0.7153642982
0.0095312500	0.8432551000	4.5081315000	-0.4906356000	-2.2701061000	0.8923538560
