%
% Convert TDMS to ASCII v1.2 
% File created on 10-4-2026 16:22:12
%
% For Matlab use: 
Input=dlmread('12 1 s1200 cavitation25.dat','\t',[8 0 32817 5])

Time     	ch 0     	ch 1     	ch 2     	ch 3     	ch 4     	
0.0000000000	-0.5940764000	1.6652223000	-0.4586935000	1.6268179000	-0.2335166662
0.0001562500	0.0127969000	-0.3152313000	-0.3948093000	2.0420639000	-0.2368541240
0.0003125000	0.8751958000	-0.8263161000	-3.0140615000	-2.3659321000	-0.3628953029
0.0004687500	-1.3287125000	-0.8263161000	0.0523801000	2.5850779000	-0.1415801340
0.0006250000	1.8014761000	0.8666523000	-0.6184040000	-1.1201941000	0.0080318404
0.0007812500	0.8751958000	1.3457943000	-0.5225777000	0.7963259000	-0.0212752107
0.0009375000	-0.2107880000	3.7095615000	-1.2253039000	-0.7049481000	-0.1538348618
0.0010937500	2.3444680000	1.3138515000	-0.4906356000	-0.8327161000	-0.4211443707
0.0012500000	0.8751958000	0.3236247000	-2.1835669000	1.8504119000	-0.2612592840
0.0014062500	0.5877295000	-1.0818585000	-1.6724933000	0.9879779000	0.0774926804
0.0015625000	1.2265435000	-2.0401425000	-4.1320350000	2.2975999000	0.0467254915
0.0017187500	1.8653575000	-4.3400241000	-2.5988142000	2.2975999000	-0.1872615874
0.0018750000	1.0348993000	0.6430527000	-3.7487298000	1.6587599000	-0.0554320051
0.0020312500	1.6417726000	-0.0596889000	-3.4931930000	1.6907019000	0.2577154004
0.0021875000	1.4181877000	3.7095615000	-1.2572460000	1.4032239000	0.2710130838
0.0023437500	1.7056540000	-1.5929433000	-0.3948093000	0.5088479000	-0.0149653296
0.0025000000	0.9390772000	1.0583091000	-1.4808407000	1.0518619000	0.1429381415
0.0026562500	0.5238481000	-3.9567105000	-1.5127828000	0.7963259000	0.2409759638
0.0028125000	-0.3385508000	0.1319679000	1.7133693000	1.9781799000	-0.1331321940
0.0029687500	0.0766783000	-1.1138013000	-1.6724933000	-1.2160201000	-0.1985776551
0.0031250000	-0.1788473000	1.5055083000	0.5953958000	2.4892519000	0.0112650026
0.0032812500	0.7793737000	1.4416227000	-3.4931930000	-0.9604841000	0.0318112271
0.0034375000	-0.3385508000	5.7858435000	-1.8002617000	-0.1299921000	-0.1896603851
0.0035937500	1.5459505000	-1.5290577000	-2.1196827000	0.0297179000	-0.3651898051
0.0037500000	1.3223656000	3.6776187000	-1.9280301000	-1.8548601000	-0.3347355029
0.0039062500	-0.5301950000	1.0583091000	-1.2253039000	2.2656579000	0.2803475360
0.0040625000	1.7375947000	-0.6027165000	-2.3432774000	-0.2258181000	0.3222222015
0.0042187500	-0.4982543000	1.0902519000	-0.4586935000	3.4794539000	0.1931564515
0.0043750000	0.8432551000	1.8568791000	-1.0336513000	1.4351659000	0.1731838526
0.0045312500	1.2584842000	1.3457943000	0.1162643000	0.0297179000	0.1902361760
0.0046875000	-0.0510845000	3.8373327000	-0.3628672000	2.3295419000	0.0127251404
0.0048437500	2.1847645000	3.8373327000	0.4356853000	0.0616599000	-0.0480791685
0.0050000000	-0.7218392000	1.0583091000	-1.2253039000	-0.5771801000	0.1445025749
0.0051562500	1.9292389000	-1.2415725000	1.5217167000	1.0199199000	0.4189563293
0.0053125000	-0.0191438000	-2.0081997000	-0.2350988000	1.2115719000	0.1738096260
0.0054687500	-0.2427287000	-0.6346593000	0.4356853000	0.6685579000	0.1196280849
0.0056250000	-1.0093055000	-1.1138013000	0.5634537000	1.9781799000	0.2272089504
0.0057812500	-0.1469066000	2.9109915000	-0.2989830000	0.3810799000	0.2765407482
0.0059375000	-0.3704915000	1.4096799000	0.2440327000	1.1796299000	0.4745458604
0.0060937500	0.2363818000	2.8471059000	-0.3948093000	0.1574859000	0.0432837382
0.0062500000	0.0447376000	0.4194531000	-0.7142303000	-2.0784541000	0.0608053915
