%
% Convert TDMS to ASCII v1.2 
% File created on 10-4-2026 16:22:11
%
% For Matlab use: 
Input=dlmread('11 1 s1200 healthy.dat','\t',[8 0 32817 5])

Time     	ch 0     	ch 1     	ch 2     	ch 3     	ch 4     	
0.0000000000	-1.6800602000	-0.5388309000	1.8730798000	-1.3437881000	-0.5874436340
0.0001562500	-2.0952893000	-0.5388309000	0.2120906000	-1.1840781000	-0.6646223451
0.0003125000	-3.1493324000	-2.0720853000	3.4701848000	-1.8229181000	-0.6670732907
0.0004687500	-2.2230521000	-2.7428841000	2.0966745000	-0.8327161000	-0.6678555074
0.0006250000	-1.1051276000	-2.6151129000	4.8117530000	-1.3118461000	-0.6452233718
0.0007812500	-0.6260171000	-0.6666021000	3.7257216000	0.2213699000	-0.5956308351
0.0009375000	0.5557888000	0.9944235000	2.2563850000	-0.3216441000	-0.6103886562
0.0010937500	-0.1149659000	-0.0596889000	1.7133693000	-0.3216441000	-0.5524524751
0.0012500000	0.3002632000	-1.9123713000	1.5217167000	0.0936019000	-0.4793934385
0.0014062500	-1.4884160000	-2.1040281000	-1.0336513000	-2.3659321000	-0.4376752162
0.0015625000	-0.9773648000	0.0041967000	0.8189905000	-0.4174701000	-0.4010674762
0.0017187500	-1.4884160000	-4.9149945000	-3.2376562000	-1.1201941000	-0.3193519085
0.0018750000	-0.9454241000	-0.7624305000	0.8509326000	0.4130219000	-0.1709914807
0.0020312500	0.4919074000	-0.9860301000	-2.3752195000	-0.5132961000	-0.1052852807
0.0021875000	0.1086190000	-0.9540873000	-2.0238564000	-0.0980501000	0.0580937071
0.0023437500	1.1626621000	-1.1457441000	-0.3948093000	0.4769059000	0.1393920926
0.0025000000	0.4280260000	-1.1776869000	-3.6209614000	-0.0980501000	0.1999356626
0.0026562500	0.3322039000	-2.2317993000	0.1162643000	0.0297179000	0.2603227893
0.0028125000	0.0127969000	-0.4749453000	-1.9919143000	-0.9924261000	0.2062976915
0.0029687500	-1.3606532000	-1.5610005000	2.5758060000	-0.5452381000	0.1769906404
0.0031250000	0.2363818000	-1.4012865000	0.6592800000	0.3491379000	0.3144000349
0.0032812500	-0.1469066000	0.1000251000	3.1507638000	0.3491379000	0.4222937871
0.0034375000	1.2904249000	0.1639107000	-2.5668721000	-0.8966001000	0.3740049449
