%
% Convert TDMS to ASCII v1.2 
% File created on 10-4-2026 16:22:12
%
% For Matlab use: 
Input=dlmread('12 3 s1200 cavitation25.dat','\t',[8 0 32817 5])

Time     	ch 0     	ch 1     	ch 2     	ch 3     	ch 4     	
0.0000000000	0.3322039000	1.7610507000	2.0647324000	-1.3118461000	-0.0250298507
0.0001562500	-0.4663136000	-2.3276277000	2.3202692000	-0.6410641000	-0.5437437962
0.0003125000	1.6098319000	1.9846503000	1.5856009000	-1.2160201000	-0.2534371174
0.0004687500	0.4919074000	-0.3471741000	-0.1073304000	-1.5993241000	0.8473503238
0.0006250000	0.1086190000	-3.1900833000	2.1286166000	-1.2160201000	0.5477091926
0.0007812500	-0.7857206000	-3.5095113000	-0.8419987000	-0.2258181000	-0.3588277762
0.0009375000	-2.3188742000	-1.5929433000	1.7133693000	-0.5452381000	0.1790765515
0.0010937500	-0.9773648000	-3.4136829000	-1.4488986000	1.5629339000	0.6298419426
0.0012500000	-1.9675265000	0.4194531000	2.6077481000	0.9879779000	-0.1606140729
0.0014062500	-1.1370683000	0.0361395000	1.1064694000	1.6587599000	-0.9464810840
0.0015625000	-0.5301950000	2.8151631000	1.0425852000	-0.2897021000	-0.2242343618
0.0017187500	-1.0412462000	0.1958535000	1.4578325000	-0.4813541000	0.2628780304
0.0018750000	0.8113144000	1.1860803000	1.6814272000	-0.9604841000	0.1297447538
0.0020312500	-0.5940764000	-1.3374009000	-1.8641459000	0.1894279000	-0.4663043462
0.0021875000	1.1307214000	1.2499659000	1.9689061000	-0.5771801000	-0.2395658085
0.0023437500	-0.8176613000	0.9624807000	-2.0238564000	0.4769059000	0.3450629282
0.0025000000	-0.5301950000	0.3236247000	0.5315116000	-0.4494121000	0.4766317715
0.0026562500	-0.0830252000	1.9527075000	0.6273379000	-1.2799041000	0.0727472326
0.0028125000	1.2265435000	1.8249363000	-0.0115041000	3.6391639000	0.0342621726
0.0029687500	0.2044411000	-0.5068881000	0.9467589000	-1.2799041000	0.4393461104
0.0031250000	1.6737133000	2.7832203000	1.7453114000	0.7324419000	0.2340924571
0.0032812500	0.9390772000	-2.6470557000	-1.4808407000	1.1476879000	-0.2315871985
0.0034375000	1.5459505000	0.4194531000	0.6273379000	-0.8966001000	-0.1150369151
0.0035937500	-0.2107880000	-2.1679137000	-0.5225777000	1.5948759000	-0.0443245285
